"Deaths","Injured","Affected","Damage","Natural","Tech","Africa","America","Asia","Europe","Oceania"
2,12,102,0,1,0,0,0,0,1,0
7,0,0,0,1,0,0,1,0,0,0
7,8,508,0,1,0,0,0,0,1,0
13,0,0,0,0,1,1,0,0,0,0
27,0,79,0,1,0,0,0,1,0,0
89,0,1946,0,1,0,0,0,1,0,0
40,0,160,0,1,0,1,0,0,0,0
56,7,7,0,0,1,0,0,1,0,0
1,15,1035,8100,1,0,0,1,0,0,0
0,0,1000,0,1,0,1,0,0,0,0
14,0,1000,1e+06,1,0,0,1,0,0,0
60,0,143000,75000,1,0,0,1,0,0,0
21,0,522,0,1,0,0,0,1,0,0
12,110,110,0,0,1,0,1,0,0,0
0,0,520,0,1,0,0,0,1,0,0
10,0,0,0,0,1,0,0,1,0,0
0,12,12,0,1,0,0,0,1,0,0
203,214,18214,172000,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,1,1,0,0,0,0
3,0,500,0,1,0,1,0,0,0,0
144,70,50070,6300,1,0,0,0,1,0,0
2,0,24000,30000,1,0,0,0,0,1,0
27,26,26,0,0,1,0,0,1,0,0
0,8,19108,920,1,0,0,0,0,1,0
50,0,10,0,0,1,0,0,1,0,0
13,0,0,0,0,1,1,0,0,0,0
24,0,0,0,0,1,1,0,0,0,0
200,0,1000,0,1,0,0,0,1,0,0
7,0,0,0,1,0,1,0,0,0,0
8,0,0,0,1,0,0,1,0,0,0
0,0,0,809,1,0,1,0,0,0,0
2,0,1374,0,1,0,0,0,0,1,0
19,0,855,0,1,0,1,0,0,0,0
0,0,220000,0,1,0,1,0,0,0,0
13,5,5,0,0,1,1,0,0,0,0
22,10,10,0,0,1,1,0,0,0,0
16,7,7,0,0,1,1,0,0,0,0
9,0,30000,0,1,0,1,0,0,0,0
86,0,0,0,1,0,0,0,1,0,0
8,0,400,6000,1,0,0,0,1,0,0
0,0,175,166000,1,0,0,1,0,0,0
